医師コード,氏名,KOL,論文執筆数,年齢,性別,専門医かどうか,施設タイプ,該当施設におけるA社全製品の売上: 直近1年間,MR訪問回数: 直近3ヶ月,MR電話回数: 直近3ヶ月,MRビデオ会議回数: 直近3ヶ月,webセミナー channelA 参加回数: 直近3ヶ月,webセミナー channelB 参加回数: 直近3ヶ月,webセミナー channelC 参加回数: 直近3ヶ月,製品説明会への参加,eDTL channelA アクセス数: 直近3ヶ月,eDTL channelB アクセス数: 直近3ヶ月,eDTL channelC アクセス数: 直近3ヶ月,eDTL channelC 開封数: 直近3ヶ月,自社医療関係者向けサイト 資料ダウンロード: 直近3ヶ月,自社医療関係者向けサイト メルマガクリック数: 直近3ヶ月,営業エリアでの過去の導入施設数: 直近1ヶ月,処方したかどうか
2084,伊藤 太郎,0.0,0.0,28,男,専門医,GP&HP,2600,0.0,1.0,2.0,1.0,0.0,2.0,1.0,4,1,1,10.0,yes,2,4,0
2085,中村 太郎,0.0,0.0,36,男,専門医ではない,HP,1200,6.0,15.0,12.0,1.0,1.0,0.0,0.0,2,1,0,2.0,yes,3,3,0
2086,伊藤 翔,0.0,0.0,40,女,専門医ではない,HP,1400,2.0,10.0,8.0,0.0,0.0,1.0,0.0,0,0,2,2.0,no,1,2,0
2087,高橋 優子,,1.0,36,男,専門医ではない,HP,2000,7.0,11.0,11.0,1.0,2.0,1.0,0.0,1,3,3,12.0,no,3,2,1
2088,小林 健太,0.0,,35,男,専門医ではない,GP,1500,14.0,10.0,15.0,0.0,1.0,0.0,0.0,1,0,0,5.0,no,2,2,0
2089,伊藤 彩,0.0,1.0,65,男,専門医ではない,GP,3200,14.0,19.0,12.0,1.0,0.0,1.0,0.0,0,1,0,,no,3,1,0
2090,伊藤 大輔,0.0,0.0,71,女,専門医,GP&HP,1600,0.0,3.0,20.0,1.0,0.0,0.0,0.0,2,2,1,3.0,no,7,1,0
2091,高橋 健太,1.0,,52,男,専門医,HP,1000,14.0,2.0,29.0,0.0,3.0,0.0,1.0,1,0,8,2.0,no,2,1,0
2092,中村 健太,,1.0,37,男,専門医ではない,GP,1900,4.0,22.0,4.0,1.0,1.0,1.0,0.0,3,2,2,7.0,no,1,2,0
2093,小林 太郎,0.0,0.0,33,男,専門医ではない,HP,1100,1.0,8.0,5.0,0.0,1.0,2.0,0.0,1,2,0,5.0,no,2,2,0
2094,加藤 花子,0.0,1.0,64,男,専門医,HP,1500,6.0,7.0,16.0,1.0,1.0,1.0,0.0,1,1,0,1.0,yes,2,1,0
2095,鈴木 太郎,0.0,1.0,41,男,専門医ではない,GP&HP,1000,5.0,6.0,2.0,1.0,0.0,1.0,0.0,0,1,0,5.0,no,2,0,0
2096,伊藤 優子,,0.0,34,男,専門医ではない,GP,1600,2.0,7.0,13.0,0.0,1.0,0.0,0.0,1,0,0,2.0,no,4,1,1
2097,加藤 健太,0.0,1.0,74,男,専門医ではない,GP&HP,1100,7.0,16.0,9.0,0.0,0.0,0.0,0.0,1,1,2,10.0,no,3,2,1
2098,渡辺 健太,0.0,0.0,54,男,専門医ではない,GP,2000,1.0,10.0,5.0,1.0,0.0,0.0,0.0,2,0,2,10.0,no,2,3,0
2099,山本 健太,0.0,0.0,34,男,専門医ではない,HP,2100,3.0,12.0,40.0,1.0,1.0,1.0,0.0,0,1,0,0.0,no,2,1,0
2100,鈴木 大輔,0.0,0.0,38,女,専門医ではない,HP,1800,10.0,5.0,7.0,1.0,0.0,0.0,,1,0,2,0.0,no,8,5,0
2101,山本 結衣,1.0,1.0,63,男,専門医,GP&HP,1300,3.0,14.0,10.0,0.0,0.0,0.0,0.0,0,1,0,2.0,no,2,2,0
2102,佐藤 結衣,0.0,1.0,46,男,専門医ではない,GP,1200,1.0,11.0,12.0,0.0,0.0,0.0,0.0,1,0,1,9.0,yes,4,1,0
2103,田中 彩,0.0,1.0,31,男,専門医ではない,GP&HP,1600,12.0,13.0,12.0,0.0,0.0,0.0,0.0,1,1,2,5.0,yes,5,3,0
2104,田中 優子,,0.0,49,男,専門医ではない,GP,1800,4.0,12.0,10.0,1.0,0.0,1.0,0.0,0,0,1,2.0,no,3,3,0
2105,鈴木 大輔,1.0,1.0,69,男,専門医ではない,HP,2100,7.0,11.0,7.0,2.0,0.0,1.0,1.0,2,0,1,1.0,no,1,3,0
2106,高橋 美咲,0.0,0.0,64,女,専門医ではない,GP,2200,8.0,6.0,14.0,1.0,0.0,0.0,0.0,0,0,0,3.0,no,6,2,0
2107,小林 優子,1.0,0.0,55,女,専門医,HP,1600,2.0,5.0,19.0,0.0,0.0,1.0,0.0,2,0,1,5.0,no,2,2,0
2108,田中 翔,0.0,0.0,43,男,専門医ではない,GP,1500,4.0,3.0,12.0,1.0,1.0,1.0,0.0,1,1,0,4.0,no,4,3,0
2109,加藤 一郎,0.0,1.0,64,男,専門医,HP,1800,15.0,7.0,2.0,0.0,0.0,0.0,0.0,1,1,0,4.0,no,4,1,0
2110,小林 結衣,0.0,3.0,60,男,専門医,GP&HP,1800,8.0,12.0,5.0,1.0,0.0,1.0,0.0,1,1,1,7.0,yes,2,7,0
2111,高橋 結衣,0.0,0.0,64,男,専門医ではない,GP&HP,2300,16.0,14.0,3.0,1.0,0.0,0.0,0.0,6,0,0,1.0,no,2,4,0
2112,加藤 一郎,1.0,0.0,77,女,専門医ではない,HP,2400,3.0,9.0,13.0,0.0,0.0,1.0,0.0,1,0,1,6.0,no,2,3,0
2113,鈴木 美咲,0.0,0.0,34,女,専門医ではない,HP,1600,12.0,11.0,4.0,0.0,0.0,0.0,0.0,1,0,0,5.0,yes,4,3,0
2114,山本 結衣,0.0,2.0,63,女,専門医ではない,HP,2300,6.0,2.0,6.0,1.0,1.0,0.0,0.0,2,1,0,7.0,no,2,2,0
2115,佐藤 健太,0.0,1.0,62,男,専門医ではない,GP,2200,11.0,11.0,10.0,1.0,0.0,0.0,0.0,7,1,1,3.0,no,3,4,0
2116,渡辺 結衣,0.0,0.0,46,男,専門医ではない,HP,1200,5.0,8.0,10.0,0.0,0.0,1.0,0.0,12,1,0,5.0,no,2,8,0
2117,小林 彩,0.0,1.0,76,女,専門医,HP,1200,2.0,17.0,14.0,0.0,1.0,0.0,0.0,0,1,1,7.0,no,5,1,1
2118,田中 翔,0.0,1.0,70,男,専門医,HP,1300,0.0,2.0,14.0,0.0,1.0,0.0,0.0,2,1,0,6.0,no,3,4,0
2119,加藤 太郎,,1.0,76,男,専門医,GP&HP,1300,3.0,4.0,9.0,0.0,1.0,1.0,0.0,0,0,0,12.0,yes,4,3,0
2120,伊藤 彩,0.0,0.0,41,男,専門医ではない,HP,1900,6.0,3.0,13.0,1.0,0.0,1.0,0.0,0,0,0,6.0,no,1,2,0
2121,鈴木 美咲,0.0,1.0,67,男,専門医ではない,GP,1700,3.0,3.0,,1.0,1.0,1.0,0.0,0,0,0,3.0,yes,1,3,0
2122,加藤 太郎,0.0,0.0,33,女,専門医ではない,GP,1200,12.0,3.0,19.0,1.0,0.0,0.0,0.0,0,0,0,4.0,yes,1,3,0
2123,田中 結衣,0.0,0.0,71,女,専門医ではない,GP,1900,13.0,7.0,10.0,0.0,1.0,0.0,1.0,1,7,1,6.0,no,3,4,1
2124,佐藤 美咲,,1.0,51,男,専門医ではない,GP,2200,5.0,1.0,7.0,0.0,1.0,1.0,0.0,1,1,0,3.0,yes,1,8,0
2125,高橋 太郎,0.0,0.0,69,男,専門医,GP&HP,1500,0.0,3.0,6.0,1.0,0.0,1.0,0.0,0,1,1,5.0,no,5,4,1
2126,山本 優子,1.0,0.0,48,男,専門医,HP,1400,6.0,6.0,8.0,0.0,0.0,1.0,0.0,1,1,0,0.0,no,3,4,0
2127,高橋 健太,1.0,1.0,35,男,専門医ではない,GP,1800,1.0,1.0,17.0,0.0,1.0,1.0,0.0,2,1,1,4.0,no,4,1,0
2128,佐藤 花子,0.0,0.0,52,男,専門医,GP&HP,2300,6.0,3.0,17.0,0.0,0.0,1.0,0.0,3,0,0,,no,5,2,0
2129,渡辺 結衣,0.0,0.0,74,男,専門医ではない,HP,1700,11.0,3.0,34.0,1.0,0.0,0.0,0.0,0,1,0,6.0,no,3,2,0
2130,加藤 花子,0.0,0.0,77,男,専門医ではない,HP,1600,2.0,17.0,9.0,0.0,1.0,1.0,0.0,1,1,1,4.0,no,5,3,0
2131,高橋 翔,0.0,0.0,38,女,専門医,HP,1000,1.0,6.0,19.0,0.0,0.0,0.0,0.0,1,1,0,3.0,no,3,0,0
2132,高橋 健太,0.0,2.0,30,男,専門医ではない,HP,1100,15.0,6.0,10.0,1.0,0.0,1.0,0.0,1,0,0,6.0,no,1,2,0
2133,田中 花子,0.0,0.0,60,男,専門医ではない,GP,2000,2.0,6.0,8.0,1.0,0.0,0.0,0.0,0,0,0,3.0,no,8,4,0
2134,佐藤 健太,0.0,1.0,72,女,専門医ではない,HP,1100,8.0,18.0,16.0,1.0,1.0,0.0,0.0,1,0,1,3.0,no,5,0,1
2135,田中 優子,0.0,1.0,73,男,専門医ではない,GP,1000,7.0,9.0,12.0,1.0,0.0,0.0,0.0,1,0,1,10.0,yes,5,1,0
2136,小林 健太,0.0,1.0,42,男,専門医ではない,GP&HP,1900,,2.0,8.0,0.0,1.0,0.0,0.0,1,0,0,1.0,no,5,4,0
2137,高橋 翔,1.0,1.0,41,男,専門医,GP&HP,1000,12.0,19.0,19.0,1.0,1.0,0.0,0.0,1,0,1,7.0,yes,1,3,0
2138,加藤 健太,0.0,1.0,61,男,専門医ではない,GP&HP,2100,3.0,9.0,11.0,1.0,1.0,0.0,0.0,0,0,0,2.0,no,3,2,0
2139,伊藤 彩,0.0,1.0,71,女,専門医ではない,HP,1000,2.0,0.0,11.0,1.0,1.0,0.0,0.0,0,1,0,2.0,no,3,5,0
2140,加藤 彩,0.0,0.0,69,男,専門医ではない,GP&HP,2100,4.0,7.0,4.0,0.0,0.0,1.0,0.0,1,0,3,7.0,no,3,3,1
2141,渡辺 健太,0.0,0.0,68,女,専門医ではない,GP&HP,1200,0.0,8.0,5.0,0.0,1.0,0.0,0.0,0,3,1,3.0,yes,7,1,0
2142,高橋 優子,0.0,0.0,44,男,専門医ではない,GP,1800,2.0,7.0,12.0,0.0,1.0,0.0,0.0,0,8,2,2.0,no,2,0,0
2143,鈴木 大輔,0.0,3.0,77,女,専門医ではない,HP,1000,18.0,14.0,7.0,1.0,1.0,1.0,0.0,1,1,1,4.0,no,4,1,0
2144,渡辺 一郎,0.0,1.0,58,女,専門医ではない,GP,1400,1.0,8.0,11.0,0.0,0.0,0.0,0.0,0,0,0,5.0,yes,2,1,0
2145,小林 美咲,0.0,0.0,50,男,専門医ではない,GP,1200,5.0,12.0,5.0,0.0,1.0,1.0,0.0,0,2,0,3.0,no,2,3,0
2146,中村 彩,0.0,0.0,49,女,専門医,HP,2300,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0,1,2,2.0,yes,2,3,0
2147,山本 花子,0.0,1.0,63,男,専門医ではない,HP,3400,5.0,14.0,21.0,1.0,1.0,1.0,0.0,5,0,0,2.0,,3,2,1
2148,渡辺 太郎,0.0,2.0,31,女,専門医ではない,GP,2100,4.0,3.0,14.0,1.0,0.0,1.0,1.0,1,3,0,8.0,no,2,5,0
2149,中村 結衣,0.0,1.0,50,男,専門医ではない,GP&HP,1600,5.0,10.0,12.0,1.0,0.0,1.0,0.0,1,0,1,3.0,no,2,2,0
2150,高橋 優子,,1.0,58,男,専門医ではない,GP&HP,2200,2.0,8.0,13.0,1.0,0.0,1.0,0.0,1,1,2,8.0,no,6,1,1
2151,加藤 花子,0.0,1.0,53,男,専門医ではない,GP&HP,1600,9.0,2.0,12.0,0.0,1.0,1.0,0.0,3,0,0,4.0,no,1,1,0
2152,小林 翔,0.0,0.0,29,男,専門医ではない,HP,2000,0.0,2.0,11.0,1.0,1.0,0.0,1.0,0,1,0,2.0,yes,2,3,0
2153,佐藤 大輔,0.0,1.0,29,男,専門医ではない,GP,1700,2.0,3.0,8.0,1.0,0.0,1.0,0.0,2,0,3,4.0,no,5,1,0
2154,田中 大輔,0.0,0.0,62,男,専門医,GP&HP,1600,0.0,18.0,17.0,0.0,1.0,1.0,0.0,1,0,1,2.0,no,1,5,0
2155,佐藤 翔,0.0,1.0,53,女,専門医ではない,GP&HP,2200,7.0,2.0,12.0,0.0,1.0,0.0,0.0,0,4,0,2.0,no,5,2,0
2156,高橋 結衣,0.0,1.0,70,男,専門医ではない,GP&HP,1300,10.0,2.0,36.0,1.0,0.0,1.0,0.0,1,0,0,2.0,yes,5,3,0
2157,渡辺 翔,1.0,0.0,70,女,専門医ではない,GP&HP,1500,7.0,4.0,13.0,0.0,0.0,1.0,0.0,0,1,3,8.0,no,1,1,0
2158,佐藤 太郎,1.0,0.0,63,男,専門医,GP,1800,3.0,9.0,26.0,0.0,0.0,1.0,0.0,0,0,2,3.0,yes,3,2,0
2159,高橋 花子,0.0,0.0,59,男,専門医ではない,GP,3000,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1,0,0,3.0,no,2,2,0
2160,伊藤 健太,0.0,0.0,59,男,専門医,GP&HP,1800,3.0,4.0,6.0,1.0,1.0,1.0,1.0,0,4,2,0.0,yes,8,1,0
2161,鈴木 一郎,0.0,1.0,50,男,専門医,HP,2000,2.0,2.0,12.0,1.0,1.0,0.0,0.0,3,1,0,3.0,no,3,3,0
2162,伊藤 健太,0.0,1.0,29,男,専門医ではない,GP,2300,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0,2,1,8.0,no,4,1,0
2163,中村 太郎,0.0,0.0,52,男,専門医ではない,GP,1100,2.0,4.0,17.0,1.0,0.0,0.0,0.0,0,2,0,0.0,yes,7,1,0
2164,伊藤 健太,0.0,1.0,71,男,専門医ではない,GP,1500,5.0,22.0,5.0,0.0,0.0,0.0,1.0,1,1,0,1.0,no,2,5,0
2165,伊藤 大輔,0.0,1.0,77,男,専門医,HP,1300,5.0,5.0,10.0,0.0,0.0,1.0,0.0,1,2,0,1.0,no,3,5,0
2166,小林 彩,0.0,0.0,70,男,専門医ではない,HP,2100,1.0,8.0,22.0,1.0,0.0,1.0,0.0,0,0,0,0.0,no,3,0,0
2167,加藤 美咲,0.0,0.0,44,男,専門医,GP,1900,13.0,7.0,22.0,1.0,1.0,1.0,0.0,5,0,0,8.0,no,2,5,1
2168,加藤 大輔,0.0,1.0,29,男,専門医ではない,GP&HP,1500,8.0,7.0,19.0,1.0,1.0,2.0,0.0,2,0,0,4.0,no,2,2,1
2169,中村 彩,0.0,1.0,69,男,専門医ではない,GP&HP,1200,9.0,6.0,3.0,0.0,1.0,2.0,0.0,0,1,2,7.0,no,1,3,0
2170,渡辺 一郎,0.0,1.0,50,男,専門医,GP,1900,12.0,10.0,21.0,0.0,1.0,1.0,0.0,0,0,0,7.0,no,3,2,0
2171,伊藤 一郎,0.0,0.0,47,男,専門医ではない,GP,1400,6.0,8.0,3.0,0.0,1.0,0.0,0.0,1,0,0,5.0,no,2,5,0
2172,伊藤 太郎,0.0,1.0,30,男,専門医ではない,HP,1300,8.0,9.0,8.0,1.0,0.0,0.0,0.0,1,8,0,3.0,yes,1,4,0
2173,中村 健太,0.0,0.0,42,男,専門医ではない,GP,1800,6.0,6.0,6.0,1.0,1.0,1.0,0.0,2,1,1,4.0,yes,6,3,0
2174,田中 花子,0.0,,32,男,専門医ではない,HP,1200,3.0,10.0,16.0,0.0,2.0,1.0,0.0,0,1,0,4.0,no,4,5,0
2175,小林 優子,0.0,0.0,66,男,専門医ではない,GP,3000,2.0,5.0,4.0,0.0,1.0,1.0,0.0,1,0,0,11.0,yes,5,2,0
2176,高橋 優子,0.0,0.0,54,男,専門医ではない,HP,1400,4.0,4.0,10.0,1.0,0.0,1.0,0.0,1,0,0,5.0,no,2,2,0
2177,中村 彩,0.0,1.0,36,女,専門医ではない,GP,1300,16.0,10.0,7.0,0.0,0.0,1.0,0.0,1,0,2,4.0,no,3,4,0
2178,渡辺 翔,0.0,1.0,30,女,専門医ではない,HP,1700,2.0,12.0,8.0,0.0,1.0,1.0,0.0,1,0,2,7.0,yes,5,2,0
2179,小林 花子,0.0,1.0,33,女,専門医ではない,GP&HP,1800,7.0,6.0,10.0,0.0,0.0,0.0,0.0,0,1,0,2.0,yes,4,5,0
2180,鈴木 花子,0.0,1.0,44,男,専門医,HP,1800,1.0,4.0,8.0,0.0,1.0,0.0,0.0,2,1,0,13.0,no,6,3,1
2181,高橋 結衣,0.0,0.0,66,男,専門医ではない,GP&HP,1800,0.0,6.0,4.0,,1.0,0.0,0.0,1,0,1,2.0,yes,4,2,0
2182,高橋 彩,0.0,0.0,73,男,専門医ではない,GP&HP,1600,10.0,5.0,13.0,0.0,0.0,1.0,0.0,0,1,1,,yes,1,2,0
2183,小林 太郎,0.0,0.0,39,男,専門医ではない,GP&HP,2000,1.0,2.0,4.0,1.0,0.0,1.0,0.0,0,0,2,4.0,yes,1,2,0
2184,小林 一郎,0.0,0.0,47,男,専門医ではない,GP&HP,2100,5.0,1.0,20.0,0.0,1.0,1.0,0.0,0,1,1,4.0,no,1,5,0
2185,渡辺 結衣,0.0,0.0,52,男,専門医,HP,2700,6.0,1.0,7.0,0.0,3.0,1.0,1.0,1,2,0,5.0,no,3,3,1
2186,鈴木 優子,0.0,0.0,75,男,専門医ではない,GP&HP,1500,4.0,8.0,5.0,0.0,1.0,1.0,0.0,3,0,0,4.0,no,1,1,1
2187,佐藤 翔,,0.0,51,男,専門医,GP,1900,2.0,4.0,4.0,0.0,1.0,1.0,0.0,1,0,3,5.0,no,2,2,1
2188,佐藤 彩,0.0,1.0,47,男,専門医,GP&HP,1200,8.0,6.0,16.0,0.0,1.0,0.0,0.0,1,1,0,0.0,no,6,1,0
2189,山本 一郎,1.0,1.0,70,女,専門医ではない,GP&HP,1200,6.0,13.0,18.0,0.0,1.0,1.0,0.0,5,0,0,4.0,no,6,4,0
2190,小林 翔,1.0,1.0,37,男,専門医ではない,HP,1700,10.0,1.0,7.0,1.0,2.0,0.0,0.0,0,1,1,3.0,yes,2,5,0
2191,小林 優子,1.0,1.0,42,男,専門医,GP,1500,11.0,4.0,6.0,1.0,0.0,1.0,0.0,1,0,0,3.0,yes,3,1,0
2192,伊藤 彩,0.0,1.0,72,女,専門医ではない,GP&HP,1800,9.0,2.0,23.0,0.0,0.0,1.0,0.0,0,0,1,6.0,yes,5,2,0
2193,高橋 彩,0.0,1.0,75,男,専門医ではない,GP&HP,1400,11.0,4.0,8.0,1.0,1.0,0.0,0.0,1,1,1,1.0,no,2,5,0
2194,小林 彩,0.0,2.0,65,男,専門医ではない,HP,1900,3.0,11.0,8.0,1.0,0.0,1.0,0.0,0,0,0,9.0,no,5,1,0
2195,田中 一郎,0.0,1.0,64,男,専門医ではない,GP,3100,5.0,5.0,9.0,1.0,1.0,0.0,0.0,0,0,0,1.0,no,2,2,0
2196,鈴木 優子,0.0,0.0,48,男,専門医ではない,HP,2000,7.0,9.0,14.0,0.0,1.0,0.0,0.0,4,2,0,7.0,no,2,4,0
2197,山本 優子,0.0,1.0,43,男,専門医ではない,HP,1400,9.0,8.0,22.0,0.0,1.0,1.0,0.0,1,0,0,0.0,yes,2,1,0
2198,伊藤 彩,0.0,1.0,61,男,専門医ではない,HP,1500,8.0,10.0,9.0,1.0,1.0,0.0,0.0,0,1,0,4.0,yes,2,3,1
2199,山本 彩,0.0,0.0,63,男,専門医ではない,HP,1000,2.0,,20.0,1.0,0.0,1.0,1.0,0,2,3,6.0,yes,1,1,0
2200,佐藤 翔,0.0,0.0,38,男,専門医ではない,GP,1700,5.0,10.0,18.0,0.0,1.0,2.0,0.0,0,1,1,5.0,yes,4,7,1
2201,加藤 優子,0.0,1.0,37,男,専門医ではない,GP&HP,1600,5.0,6.0,10.0,0.0,1.0,1.0,0.0,2,2,0,2.0,no,2,3,0
2202,鈴木 彩,1.0,0.0,77,女,専門医ではない,HP,1400,3.0,6.0,11.0,0.0,1.0,1.0,0.0,2,1,1,4.0,no,2,4,0
2203,鈴木 優子,0.0,1.0,50,男,専門医,GP&HP,1300,9.0,8.0,5.0,0.0,1.0,0.0,0.0,0,2,0,10.0,no,3,4,1
2204,伊藤 翔,0.0,0.0,41,男,専門医ではない,GP&HP,2200,5.0,8.0,27.0,1.0,0.0,1.0,0.0,0,0,0,4.0,no,2,3,0
2205,加藤 太郎,0.0,0.0,71,男,専門医ではない,GP&HP,1800,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0,1,1,2.0,no,7,4,0
2206,佐藤 花子,0.0,1.0,61,女,専門医,GP,1300,0.0,2.0,12.0,0.0,1.0,1.0,0.0,2,1,1,4.0,yes,2,0,0
2207,山本 結衣,0.0,1.0,66,女,専門医,HP,1400,17.0,9.0,4.0,0.0,0.0,2.0,0.0,0,0,0,2.0,no,1,4,1
2208,鈴木 健太,0.0,1.0,42,男,専門医,HP,2000,12.0,7.0,8.0,2.0,0.0,0.0,0.0,0,3,1,6.0,no,5,0,0
2209,中村 健太,0.0,1.0,75,男,専門医ではない,GP,1200,4.0,4.0,12.0,1.0,1.0,0.0,0.0,1,0,2,1.0,no,4,2,0
2210,佐藤 健太,0.0,1.0,66,女,専門医,GP,1300,2.0,15.0,12.0,0.0,0.0,1.0,0.0,0,1,0,3.0,no,3,4,0
2211,鈴木 彩,0.0,1.0,51,男,専門医,GP,1300,0.0,1.0,8.0,1.0,0.0,0.0,0.0,2,0,2,7.0,no,10,1,0
2212,高橋 太郎,0.0,0.0,32,男,専門医ではない,GP,4300,1.0,9.0,14.0,0.0,0.0,0.0,0.0,1,0,1,3.0,yes,1,2,0
2213,高橋 大輔,0.0,2.0,33,男,専門医,HP,1200,4.0,17.0,8.0,1.0,0.0,0.0,0.0,1,2,1,7.0,yes,3,1,0
2214,渡辺 太郎,1.0,0.0,57,男,専門医ではない,GP,1100,9.0,8.0,17.0,0.0,1.0,0.0,0.0,1,6,1,5.0,yes,2,4,1
2215,渡辺 彩,0.0,1.0,57,女,専門医ではない,GP,1500,6.0,8.0,5.0,1.0,0.0,0.0,0.0,0,1,0,3.0,no,4,3,0
2216,鈴木 健太,0.0,1.0,67,男,専門医ではない,HP,1800,4.0,1.0,5.0,1.0,1.0,1.0,0.0,1,0,0,2.0,yes,2,1,0
2217,山本 結衣,0.0,1.0,72,女,専門医,GP,2500,9.0,16.0,12.0,0.0,1.0,0.0,0.0,0,2,0,8.0,no,6,1,0
2218,加藤 優子,0.0,1.0,49,男,専門医,GP&HP,1000,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,2,8.0,no,2,0,0
2219,渡辺 彩,0.0,2.0,68,男,専門医,HP,2000,1.0,6.0,5.0,0.0,1.0,1.0,0.0,0,1,0,11.0,yes,4,2,0
2220,山本 大輔,0.0,1.0,65,男,専門医ではない,GP&HP,1200,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0,0,1,2.0,no,2,2,0
2221,中村 大輔,0.0,1.0,63,男,専門医ではない,HP,1100,11.0,9.0,19.0,0.0,0.0,0.0,0.0,3,1,1,4.0,yes,2,2,0
2222,中村 美咲,0.0,0.0,57,女,専門医ではない,GP&HP,1600,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0,0,1,1.0,yes,2,2,0
2223,中村 彩,0.0,2.0,47,男,専門医ではない,HP,3100,12.0,7.0,12.0,1.0,3.0,1.0,0.0,2,0,0,12.0,yes,1,7,1
2224,加藤 太郎,0.0,0.0,48,男,専門医ではない,HP,1700,5.0,9.0,12.0,0.0,0.0,1.0,,0,1,2,5.0,no,2,3,1
2225,渡辺 大輔,0.0,1.0,54,女,専門医ではない,HP,1800,5.0,8.0,7.0,0.0,1.0,1.0,0.0,0,1,2,1.0,yes,2,0,1
2226,渡辺 彩,0.0,0.0,46,男,専門医ではない,GP,1400,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0,3,0,3.0,no,2,5,0
2227,高橋 花子,0.0,0.0,73,男,専門医ではない,GP,1100,3.0,11.0,7.0,1.0,0.0,0.0,0.0,0,0,1,7.0,yes,3,3,0
2228,山本 彩,1.0,0.0,32,男,専門医ではない,HP,1200,2.0,5.0,9.0,0.0,0.0,1.0,0.0,1,0,2,1.0,no,7,4,0
2229,鈴木 彩,,0.0,49,男,専門医ではない,GP,1500,2.0,6.0,26.0,1.0,0.0,0.0,0.0,2,1,0,1.0,yes,12,0,0
2230,山本 結衣,0.0,1.0,57,男,専門医ではない,GP&HP,3400,3.0,4.0,17.0,0.0,1.0,1.0,0.0,1,2,1,10.0,no,2,2,0
2231,田中 優子,0.0,1.0,36,男,専門医ではない,GP&HP,2400,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0,0,1,3.0,no,9,4,0
2232,山本 美咲,0.0,0.0,77,男,専門医ではない,GP,1100,7.0,13.0,12.0,1.0,0.0,0.0,1.0,2,1,0,2.0,no,1,3,0
2233,伊藤 大輔,0.0,1.0,56,男,専門医ではない,HP,2300,5.0,4.0,22.0,2.0,1.0,0.0,0.0,0,0,0,3.0,no,2,0,0
2234,渡辺 優子,0.0,1.0,45,女,専門医ではない,GP,1100,2.0,6.0,14.0,0.0,1.0,0.0,0.0,1,0,0,6.0,yes,3,3,0
2235,高橋 美咲,0.0,0.0,60,男,専門医ではない,GP,1200,11.0,3.0,22.0,1.0,0.0,0.0,0.0,0,0,1,4.0,no,15,4,0
2236,小林 優子,1.0,0.0,46,男,専門医ではない,GP,1300,7.0,5.0,20.0,0.0,1.0,1.0,0.0,1,1,0,4.0,no,2,6,0
2237,加藤 翔,1.0,0.0,76,男,専門医,HP,1600,8.0,8.0,12.0,0.0,0.0,0.0,0.0,2,1,0,3.0,no,8,4,0
2238,伊藤 一郎,0.0,1.0,60,男,専門医ではない,HP,1400,1.0,5.0,25.0,0.0,1.0,0.0,0.0,0,2,0,5.0,no,3,3,0
2239,加藤 翔,0.0,0.0,32,女,専門医,GP,1200,9.0,4.0,6.0,1.0,1.0,0.0,0.0,2,3,0,12.0,no,2,6,0
2240,鈴木 太郎,0.0,1.0,51,男,専門医ではない,HP,1800,7.0,3.0,20.0,0.0,0.0,0.0,0.0,1,0,0,1.0,yes,2,4,1
2241,伊藤 健太,,0.0,47,男,専門医ではない,HP,1100,4.0,8.0,26.0,0.0,1.0,1.0,0.0,2,2,3,0.0,no,3,3,0
2242,鈴木 太郎,0.0,1.0,69,男,専門医ではない,GP,1400,1.0,16.0,,1.0,1.0,1.0,0.0,0,0,3,,yes,2,2,0
2243,加藤 花子,,2.0,54,男,専門医,GP&HP,3100,2.0,4.0,10.0,0.0,1.0,1.0,0.0,1,1,0,4.0,no,1,2,0
2244,高橋 美咲,1.0,1.0,29,男,専門医ではない,GP,1200,1.0,5.0,7.0,1.0,1.0,0.0,0.0,1,2,1,6.0,no,10,2,0
2245,高橋 大輔,,0.0,69,男,専門医ではない,HP,1000,21.0,2.0,7.0,0.0,1.0,0.0,1.0,2,2,1,13.0,no,1,1,0
2246,加藤 太郎,0.0,1.0,58,男,専門医ではない,GP&HP,2200,9.0,1.0,4.0,1.0,0.0,0.0,,1,0,0,5.0,no,4,4,1
2247,小林 優子,0.0,0.0,31,男,専門医ではない,GP,1600,4.0,1.0,20.0,2.0,0.0,0.0,0.0,1,2,0,11.0,no,5,4,0
2248,鈴木 彩,1.0,0.0,54,男,専門医,HP,1700,0.0,4.0,8.0,2.0,1.0,1.0,0.0,0,1,0,8.0,no,2,3,1
2249,佐藤 彩,0.0,0.0,70,男,専門医ではない,HP,1300,4.0,6.0,4.0,,2.0,1.0,0.0,1,0,3,9.0,no,3,6,0
2250,小林 優子,,1.0,62,男,専門医,GP,1700,3.0,9.0,14.0,2.0,0.0,1.0,0.0,1,1,0,7.0,no,5,1,0
